recipe_id,recipe_name,cuisine,meal_category,skill_level,prep_time_min,total_time_min,equipment,ingredients,instructions
114,VaranBhaat,Indian,Lunch,Beginner,10,30,"Stove,Pressure Cooker","toor dal:200g,rice:250g,turmeric:3g,ghee:20g,cumin seeds:3g,asafoetida:1g,curry leaves:5g,lemon juice:10ml,salt:4g","Pressure cook dal with turmeric until soft|Cook rice separately until fluffy|Whisk the dal smooth with salt and water|Temper ghee with cumin asafoetida and curry leaves|Pour tempering into dal and simmer briefly|Serve hot varan over rice with ghee and lemon"
115,PuranPoli,Indian,Dessert,Pro,45,120,"Stove","chana dal:250g,jaggery:250g,cardamom:3g,nutmeg:1g,wheat flour:250g,all purpose flour:100g,ghee:40g,oil:20ml,salt:2g","Cook chana dal until soft and drain fully|Mash dal with jaggery and cook until thick|Season filling with cardamom and nutmeg|Make a soft dough with flours oil salt and water|Stuff dough with puran and roll gently|Cook polis on tawa with ghee until golden"
116,UkdicheModak,Indian,Dessert,Pro,35,80,"Stove","rice flour:250g,water:260ml,ghee:15g,grated coconut:200g,jaggery:180g,cardamom:3g,poppy seeds:10g,salt:1g","Cook coconut jaggery cardamom and poppy seeds into a moist filling|Boil water with salt and ghee and add rice flour|Knead the hot dough until smooth|Shape small cups and fill with coconut mixture|Seal into pleated modaks carefully|Steam until glossy and serve warm"
117,KothimbirVadi,Indian,Snack,Intermediate,20,50,"Stove","cilantro:200g,gram flour:180g,ginger garlic paste:15g,green chili:5g,sesame seeds:15g,turmeric:3g,sugar:8g,lemon juice:15ml,oil:25ml,mustard seeds:3g","Mix cilantro with gram flour spices sugar lemon and water into a thick batter|Steam the batter in a greased tray until set|Cool and cut into small squares|Shallow fry or pan crisp the pieces|Temper mustard seeds and sesame over the vadi|Serve hot with green chutney"
118,MasalaDosa,Indian,Breakfast,Pro,40,90,"Stove,Blender","idli rice:300g,urad dal:120g,fenugreek seeds:5g,potato:300g,onion:120g,green chili:5g,mustard seeds:3g,curry leaves:5g,turmeric:3g,oil:30ml,ghee:20g","Soak rice dal and fenugreek then grind to a smooth batter|Ferment batter overnight until airy|Cook potato masala with onion mustard chili curry leaves and turmeric|Spread batter thinly on a hot tawa|Drizzle oil and cook until crisp|Fill with potato masala and fold to serve"
119,PlainDosa,Indian,Breakfast,Intermediate,35,75,"Stove,Blender","idli rice:300g,urad dal:120g,fenugreek seeds:5g,oil:20ml,salt:4g","Soak rice dal and fenugreek separately|Grind to a smooth batter and ferment well|Add salt and adjust the batter consistency|Spread batter on a hot tawa in a circular motion|Drizzle oil and cook until golden and crisp|Fold and serve with chutney and sambar"
120,RavaDosa,Indian,Breakfast,Intermediate,15,30,"Stove","semolina:180g,rice flour:80g,all purpose flour:40g,cumin seeds:3g,green chili:5g,ginger:10g,cilantro:10g,black pepper:2g,oil:20ml,yogurt:30g","Whisk flours with yogurt water and spices into a thin batter|Rest briefly and stir before each dosa|Pour batter in a lacy pattern on a hot tawa|Drizzle oil around the edges|Cook until deep golden and crisp|Serve folded with chutney and sambar"
121,Idli,Indian,Breakfast,Intermediate,30,70,"Stove,Blender","idli rice:300g,urad dal:120g,fenugreek seeds:5g,salt:4g,oil:5ml","Soak rice dal and fenugreek until softened|Grind into a fluffy batter and ferment overnight|Add salt and grease idli molds lightly|Pour batter into the molds|Steam until the idlis are soft and cooked through|Unmold and serve with chutney and sambar"
122,MeduVada,Indian,Breakfast,Intermediate,25,50,"Stove,Blender","urad dal:250g,green chili:5g,ginger:10g,black pepper:3g,curry leaves:5g,onion:80g,oil:400ml,salt:4g","Soak urad dal and grind into a thick fluffy batter|Mix in chili ginger pepper curry leaves and onion|Wet hands and shape vadas with a center hole|Deep fry until crisp and golden|Drain well on paper|Serve hot with coconut chutney and sambar"
123,Sambar,Indian,Side Dish,Intermediate,20,45,"Stove,Pressure Cooker","toor dal:180g,onion:100g,tomato:120g,drumstick:150g,pumpkin:120g,sambar powder:12g,tamarind pulp:25ml,mustard seeds:3g,curry leaves:5g,asafoetida:1g,oil:20ml","Pressure cook dal until soft and mash it|Cook vegetables in water until tender|Add tamarind pulp sambar powder and salt|Stir in cooked dal and simmer|Temper mustard seeds asafoetida and curry leaves in oil|Pour over sambar and serve hot"
124,Uttapam,Indian,Breakfast,Beginner,15,30,"Stove","dosa batter:400g,onion:100g,tomato:80g,green chili:5g,cilantro:15g,oil:20ml,salt:3g","Spread thick dosa batter on a hot tawa|Top with onion tomato chili and cilantro|Drizzle oil around the edges|Cook until the base turns golden|Flip briefly to cook the topping side|Serve soft uttapam with chutney"
125,Upma,Indian,Breakfast,Beginner,10,20,"Stove","semolina:220g,onion:100g,green peas:80g,carrot:60g,green chili:5g,mustard seeds:3g,curry leaves:5g,ginger:8g,oil:20ml,ghee:10g,water:500ml","Dry roast semolina until aromatic|Temper mustard curry leaves chili ginger and onion in oil|Add peas carrot and sauté briefly|Pour in water and bring to a boil|Add semolina gradually while stirring|Finish with ghee and serve hot"
126,VenPongal,Indian,Breakfast,Beginner,15,35,"Stove,Pressure Cooker","rice:180g,moong dal:100g,ghee:30g,black pepper:4g,cumin seeds:4g,ginger:10g,cashew:30g,curry leaves:5g,salt:4g,water:700ml","Dry roast moong dal lightly|Pressure cook rice and dal until soft and creamy|Temper ghee with pepper cumin ginger curry leaves and cashew|Fold the tempering into the cooked pongal|Adjust texture with hot water if needed|Serve hot with chutney or sambar"
127,AppamWithVegetableStew,Indian,Breakfast,Intermediate,30,70,"Stove,Blender","raw rice:250g,cooked rice:80g,coconut:150g,yeast:4g,sugar:6g,coconut milk:300ml,potato:150g,carrot:80g,green peas:60g,green chili:5g,ginger:8g,curry leaves:5g,oil:20ml","Grind appam batter with soaked rice cooked rice coconut yeast and sugar|Ferment until bubbly|Cook appams in an appam pan until lacy at the edges|Prepare stew with vegetables ginger chili curry leaves and coconut milk|Simmer stew until vegetables are tender|Serve warm appams with creamy vegetable stew"
128,CholeBhature,Indian,Dinner,Pro,35,90,"Stove","chickpeas:250g,onion:150g,tomato:180g,ginger garlic paste:20g,chole masala:12g,tea bag:1,all purpose flour:300g,yogurt:60g,oil:400ml,green chili:5g,cilantro:15g","Soak and pressure cook chickpeas until tender|Make chole gravy with onion tomato ginger garlic and spices|Simmer chickpeas in the gravy until rich|Prepare bhature dough with flour yogurt salt and water|Rest dough then roll into discs|Deep fry bhature and serve with hot chole"
129,RajmaChawal,Indian,Lunch,Intermediate,20,55,"Stove,Pressure Cooker","kidney beans:250g,onion:150g,tomato:180g,ginger garlic paste:20g,cumin seeds:3g,garam masala:5g,red chili powder:5g,oil:20ml,rice:250g,cilantro:15g","Soak and pressure cook rajma until soft|Cook onion tomato ginger garlic and spices into a masala|Add rajma and simmer until thick|Cook rice separately until fluffy|Adjust seasoning and texture of the rajma|Serve hot rajma over steamed rice"
130,DalMakhani,Indian,Dinner,Intermediate,20,70,"Stove,Pressure Cooker","whole urad dal:200g,kidney beans:60g,onion:120g,tomato puree:180g,ginger garlic paste:20g,butter:40g,cream:60ml,garam masala:5g,kasuri methi:3g,oil:20ml","Soak and pressure cook urad dal and rajma until very soft|Sauté onion ginger garlic and tomato puree in butter and oil|Add cooked lentils and simmer slowly|Mash slightly for a creamy texture|Finish with cream garam masala and kasuri methi|Serve hot with naan or rice"
131,PalakPaneer,Indian,Dinner,Intermediate,20,40,"Stove,Blender","spinach:300g,paneer:250g,onion:120g,tomato:100g,ginger garlic paste:15g,green chili:5g,cream:40ml,garam masala:4g,oil:20ml,butter:15g","Blanch spinach and blend to a smooth puree|Sauté onion tomato ginger garlic and chili|Add spinach puree and simmer gently|Pan sear paneer lightly if desired|Add paneer cubes cream and garam masala|Serve with roti or naan"
132,PaneerTikkaMasala,Indian,Dinner,Intermediate,30,60,"Stove,Oven","paneer:300g,yogurt:120g,ginger garlic paste:15g,tikka masala paste:40g,onion:150g,tomato puree:180g,cream:50ml,butter:20g,capsicum:100g,oil:20ml","Marinate paneer and capsicum in yogurt tikka masala and ginger garlic|Roast or grill until lightly charred|Cook onion and tomato puree into a rich masala|Add cream and butter to finish the gravy|Fold in the roasted paneer and capsicum|Serve hot with naan or jeera rice"
133,AlooParatha,Indian,Breakfast,Intermediate,25,45,"Stove","wheat flour:300g,potato:300g,green chili:5g,cilantro:15g,garam masala:4g,amchur:3g,ghee:30g,salt:4g","Make a soft wheat dough and rest it|Mash boiled potatoes with chili cilantro and spices|Stuff dough balls with potato filling|Roll gently into thick parathas|Cook on tawa with ghee until golden on both sides|Serve hot with yogurt and pickle"
134,ButterChicken,Indian,Dinner,Pro,35,75,"Stove,Oven","chicken thigh:500g,yogurt:120g,ginger garlic paste:20g,tikka masala paste:40g,onion:120g,tomato puree:220g,cream:80ml,butter:30g,garam masala:4g,kasuri methi:3g,oil:20ml","Marinate chicken with yogurt ginger garlic and tikka masala|Roast chicken until lightly charred|Cook onion and tomato puree into a smooth gravy|Add butter cream and kasuri methi|Fold in roasted chicken and simmer gently|Serve rich butter chicken with naan"
135,SarsonKaSaagMakkiDiRoti,Indian,Dinner,Pro,40,95,"Stove","mustard greens:300g,spinach:150g,bathua greens:100g,ginger:10g,green chili:5g,maize flour:40g,ghee:25g,makki atta:250g,onion:80g,salt:4g","Cook greens with ginger chili and a little water until tender|Blend or mash the greens coarsely|Simmer with maize flour until thickened|Temper onion in ghee and fold into the saag|Knead makki atta with warm water and shape rotis|Cook rotis on tawa and serve with hot saag"
136,HyderabadiVegetableBiryani,Indian,Dinner,Pro,40,90,"Stove,Oven","basmati rice:300g,mixed vegetables:250g,onion:180g,yogurt:120g,ginger garlic paste:20g,biryani masala:12g,mint:20g,cilantro:20g,saffron milk:20ml,ghee:30g,oil:20ml","Partially cook basmati rice and set aside|Cook vegetables with yogurt ginger garlic and biryani masala|Layer rice and vegetable masala with fried onion mint cilantro and saffron milk|Seal the pot and dum cook gently|Rest before opening the lid|Serve aromatic biryani hot with raita"
137,BisiBeleBath,Indian,Lunch,Intermediate,25,55,"Stove,Pressure Cooker","rice:180g,toor dal:120g,onion:100g,tomato:120g,carrot:80g,beans:80g,peas:60g,tamarind pulp:20ml,bisi bele bath powder:12g,ghee:20g,cashew:20g","Pressure cook rice and dal together until soft|Cook vegetables separately until tender|Combine rice dal vegetables tamarind and spice powder|Simmer to a thick porridge consistency|Temper with ghee and cashew|Serve hot with boondi or chips"
138,Pesarattu,Indian,Breakfast,Beginner,20,35,"Stove,Blender","whole green gram:250g,ginger:10g,green chili:5g,cumin seeds:4g,onion:80g,cilantro:15g,oil:20ml,salt:4g","Soak green gram and grind with ginger chili and cumin|Adjust batter with salt and water|Spread batter on a hot tawa|Top with onion and cilantro|Drizzle oil and cook until crisp|Serve hot with ginger chutney"
139,NeerDosa,Indian,Breakfast,Beginner,15,30,"Stove,Blender","raw rice:250g,grated coconut:60g,water:500ml,oil:15ml,salt:3g","Soak rice and grind with coconut until smooth|Thin the batter heavily with water|Pour batter quickly on a hot dosa pan|Cover and cook only one side|Fold the soft neer dosa gently|Serve with chutney or curry"
140,ThechaBhakri,Indian,Side Dish,Beginner,15,25,"Stove","green chili:60g,garlic:25g,peanuts:40g,cilantro:10g,oil:15ml,salt:3g,jowar bhakri:4","Roast peanuts and crush them coarsely|Pound green chili garlic cilantro and salt into a coarse thecha|Mix in peanuts and a little oil|Warm bhakri on a tawa if needed|Serve thecha alongside hot bhakri|Add yogurt or onion on the side if desired"
