beverage_id,beverage_name,type,category,skill_level,prep_time_min,total_time_min,equipment,ingredients,instructions
11,Mediterranean Tequila Cocktail 11,Cocktail,Cocktail,Intermediate,5,5,Blender,"tequila:57g,soda water:265ml,lemon juice:103ml,mint:6g,pineapple:137g",Prepare the glassware for the mediterranean tequila cocktail 11|Combine tequila with soda water and lemon juice|Add mint and pineapple and mix until balanced|Finish using Blender|Serve the mediterranean tequila cocktail 11 immediately
12,Caribbean Sparkling Water Mocktail 12,Mocktail,Mocktail,Beginner,13,21,Blender,"sparkling water:82ml,mint:6g,lemon juice:254ml,basil:9g,pomegranate:42g",Prepare the glassware for the caribbean sparkling water mocktail 12|Combine sparkling water with mint and lemon juice|Add basil and pomegranate and mix until balanced|Finish using Blender|Serve the caribbean sparkling water mocktail 12 immediately
13,Vietnamese Instant Coffee Coffee 13,Coffee,Coffee,Beginner,16,24,Espresso Machine,"instant coffee:61ml,oat milk:113ml,milk:124ml,cocoa:14g,ice:132g",Prepare the glassware for the vietnamese instant coffee coffee 13|Combine instant coffee with oat milk and milk|Add cocoa and ice and mix until balanced|Finish using Espresso Machine|Serve the vietnamese instant coffee coffee 13 immediately
14,Chinese Green Tea Tea 14,Tea,Tea,Intermediate,10,14,Stove,"green tea:167ml,lemon juice:138ml,hot water:42ml,ice:84g,rose petals:34g",Prepare the glassware for the chinese green tea tea 14|Combine green tea with lemon juice and hot water|Add ice and rose petals and mix until balanced|Finish using Stove|Serve the chinese green tea tea 14 immediately
15,American Coconut Water Smoothie 15,Smoothie,Smoothie,Intermediate,20,33,Blender,"coconut water:154ml,mango:158g,banana:87g,chia seeds:11g,peanut butter:49g",Prepare the glassware for the american coconut water smoothie 15|Combine coconut water with mango and banana|Add chia seeds and peanut butter and mix until balanced|Finish using Blender|Serve the american coconut water smoothie 15 immediately
16,Nordic Whiskey Cocktail 16,Cocktail,Cocktail,Intermediate,15,19,Blender,"whiskey:55g,tonic water:152ml,ginger beer:20g,pineapple:83g,passion fruit:72g",Prepare the glassware for the nordic whiskey cocktail 16|Combine whiskey with tonic water and ginger beer|Add pineapple and passion fruit and mix until balanced|Finish using Blender|Serve the nordic whiskey cocktail 16 immediately
17,European Orange Juice Mocktail 17,Mocktail,Mocktail,Intermediate,20,28,Blender,"orange juice:117ml,lime juice:54ml,lemon juice:112ml,basil:7g,cucumber:22g",Prepare the glassware for the european orange juice mocktail 17|Combine orange juice with lime juice and lemon juice|Add basil and cucumber and mix until balanced|Finish using Blender|Serve the european orange juice mocktail 17 immediately
18,Latin Drip Coffee Coffee 18,Coffee,Coffee,Beginner,12,24,Blender,"drip coffee:82ml,milk:44ml,almond milk:222ml,cinnamon:11g,ice:195g",Prepare the glassware for the latin drip coffee coffee 18|Combine drip coffee with milk and almond milk|Add cinnamon and ice and mix until balanced|Finish using Blender|Serve the latin drip coffee coffee 18 immediately
19,British Oolong Tea Tea 19,Tea,Tea,Beginner,17,30,Blender,"oolong tea:154ml,milk:181ml,hot water:114ml,cardamom:15g,ginger:17g",Prepare the glassware for the british oolong tea tea 19|Combine oolong tea with milk and hot water|Add cardamom and ginger and mix until balanced|Finish using Blender|Serve the british oolong tea tea 19 immediately
20,Tropical Milk Smoothie 20,Smoothie,Smoothie,Beginner,9,24,Blender,"milk:142ml,banana:32g,oats:27g,ginger:19g,mint:7g",Prepare the glassware for the tropical milk smoothie 20|Combine milk with banana and oats|Add ginger and mint and mix until balanced|Finish using Blender|Serve the tropical milk smoothie 20 immediately
21,Tropical Whiskey Cocktail 21,Cocktail,Cocktail,Intermediate,6,10,Blender,"whiskey:87g,ginger beer:16g,lemon juice:277ml,basil:15g,pineapple:124g",Prepare the glassware for the tropical whiskey cocktail 21|Combine whiskey with ginger beer and lemon juice|Add basil and pineapple and mix until balanced|Finish using Blender|Serve the tropical whiskey cocktail 21 immediately
22,European Orange Juice Mocktail 22,Mocktail,Mocktail,Beginner,13,26,,"orange juice:82ml,lemon juice:300ml,honey:84g,watermelon:112ml,pomegranate:52g",Prepare the glassware for the european orange juice mocktail 22|Combine orange juice with lemon juice and honey|Add watermelon and pomegranate and mix until balanced|Finish using a serving glass|Serve the european orange juice mocktail 22 immediately
23,Nordic Drip Coffee Coffee 23,Coffee,Coffee,Intermediate,6,21,Blender,"drip coffee:35ml,oat milk:240ml,milk:250ml,cocoa:13g,brown sugar:14g",Prepare the glassware for the nordic drip coffee coffee 23|Combine drip coffee with oat milk and milk|Add cocoa and brown sugar and mix until balanced|Finish using Blender|Serve the nordic drip coffee coffee 23 immediately
24,Chinese Oolong Tea Tea 24,Tea,Tea,Beginner,10,12,Stove,"oolong tea:57ml,milk:256ml,mint:19g,ice:139g,rose petals:79g",Prepare the glassware for the chinese oolong tea tea 24|Combine oolong tea with milk and mint|Add ice and rose petals and mix until balanced|Finish using Stove|Serve the chinese oolong tea tea 24 immediately
25,Mediterranean Coconut Water Smoothie 25,Smoothie,Smoothie,Intermediate,14,15,Blender,"coconut water:271ml,banana:105g,berries:35g,ginger:18g,mint:19g",Prepare the glassware for the mediterranean coconut water smoothie 25|Combine coconut water with banana and berries|Add ginger and mint and mix until balanced|Finish using Blender|Serve the mediterranean coconut water smoothie 25 immediately
26,Mediterranean Whiskey Cocktail 26,Cocktail,Cocktail,Intermediate,12,14,Blender,"whiskey:42g,ginger beer:3g,lemon juice:257ml,cucumber:177g,basil:6g",Prepare the glassware for the mediterranean whiskey cocktail 26|Combine whiskey with ginger beer and lemon juice|Add cucumber and basil and mix until balanced|Finish using Blender|Serve the mediterranean whiskey cocktail 26 immediately
27,European Apple Juice Mocktail 27,Mocktail,Mocktail,Intermediate,9,17,Stove,"apple juice:162ml,lime juice:198ml,rose syrup:221ml,cucumber:149g,strawberry:42g",Prepare the glassware for the european apple juice mocktail 27|Combine apple juice with lime juice and rose syrup|Add cucumber and strawberry and mix until balanced|Finish using Stove|Serve the european apple juice mocktail 27 immediately
28,Italian Drip Coffee Coffee 28,Coffee,Coffee,Intermediate,16,31,,"drip coffee:196ml,milk:172ml,oat milk:175ml,brown sugar:56g,cocoa:15g",Prepare the glassware for the italian drip coffee coffee 28|Combine drip coffee with milk and oat milk|Add brown sugar and cocoa and mix until balanced|Finish using a serving glass|Serve the italian drip coffee coffee 28 immediately
29,Moroccan Green Tea Tea 29,Tea,Tea,Beginner,20,24,Stove,"green tea:197ml,mint:15g,milk:21ml,ice:172g,rose petals:66g",Prepare the glassware for the moroccan green tea tea 29|Combine green tea with mint and milk|Add ice and rose petals and mix until balanced|Finish using Stove|Serve the moroccan green tea tea 29 immediately
30,Asian Milk Smoothie 30,Smoothie,Smoothie,Intermediate,8,17,Blender,"milk:211ml,oats:47g,pineapple:98g,chia seeds:19g,cocoa:5g",Prepare the glassware for the asian milk smoothie 30|Combine milk with oats and pineapple|Add chia seeds and cocoa and mix until balanced|Finish using Blender|Serve the asian milk smoothie 30 immediately
31,Nordic Tequila Cocktail 31,Cocktail,Cocktail,Beginner,7,20,Blender,"tequila:27g,lemon juice:166ml,soda water:138ml,passion fruit:82g,berry syrup:221ml",Prepare the glassware for the nordic tequila cocktail 31|Combine tequila with lemon juice and soda water|Add passion fruit and berry syrup and mix until balanced|Finish using Blender|Serve the nordic tequila cocktail 31 immediately
32,Indian Orange Juice Mocktail 32,Mocktail,Mocktail,Beginner,6,21,Blender,"orange juice:289ml,rose syrup:235ml,honey:11g,strawberry:48g,pomegranate:19g",Prepare the glassware for the indian orange juice mocktail 32|Combine orange juice with rose syrup and honey|Add strawberry and pomegranate and mix until balanced|Finish using Blender|Serve the indian orange juice mocktail 32 immediately
33,Latin Cold Brew Coffee Coffee 33,Coffee,Coffee,Intermediate,7,19,,"cold brew coffee:30ml,condensed milk:148ml,almond milk:112ml,cinnamon:5g,vanilla syrup:108ml",Prepare the glassware for the latin cold brew coffee coffee 33|Combine cold brew coffee with condensed milk and almond milk|Add cinnamon and vanilla syrup and mix until balanced|Finish using a serving glass|Serve the latin cold brew coffee coffee 33 immediately
34,British Herbal Tea Tea 34,Tea,Tea,Intermediate,18,29,,"herbal tea:45ml,honey:76g,milk:245ml,cardamom:18g,rose petals:78g",Prepare the glassware for the british herbal tea tea 34|Combine herbal tea with honey and milk|Add cardamom and rose petals and mix until balanced|Finish using a serving glass|Serve the british herbal tea tea 34 immediately
35,African Yogurt Smoothie 35,Smoothie,Smoothie,Intermediate,8,18,Blender,"yogurt:21g,spinach:34g,banana:32g,chia seeds:5g,peanut butter:54g",Prepare the glassware for the african yogurt smoothie 35|Combine yogurt with spinach and banana|Add chia seeds and peanut butter and mix until balanced|Finish using Blender|Serve the african yogurt smoothie 35 immediately
36,Mediterranean Whiskey Cocktail 36,Cocktail,Cocktail,Intermediate,20,22,"Blender,Stove","whiskey:37g,lime juice:234ml,ginger beer:2g,pineapple:123g,passion fruit:14g","Prepare the glassware for the mediterranean whiskey cocktail 36|Combine whiskey with lime juice and ginger beer|Add pineapple and passion fruit and mix until balanced|Finish using Blender, Stove|Serve the mediterranean whiskey cocktail 36 immediately"
37,Global Orange Juice Mocktail 37,Mocktail,Mocktail,Beginner,12,27,,"orange juice:202ml,rose syrup:169ml,mint:13g,watermelon:161ml,strawberry:72g",Prepare the glassware for the global orange juice mocktail 37|Combine orange juice with rose syrup and mint|Add watermelon and strawberry and mix until balanced|Finish using a serving glass|Serve the global orange juice mocktail 37 immediately
38,Italian Espresso Coffee 38,Coffee,Coffee,Intermediate,11,23,Espresso Machine,"espresso:74ml,milk:37ml,condensed milk:20ml,cocoa:17g,brown sugar:30g",Prepare the glassware for the italian espresso coffee 38|Combine espresso with milk and condensed milk|Add cocoa and brown sugar and mix until balanced|Finish using Espresso Machine|Serve the italian espresso coffee 38 immediately
39,Indian Herbal Tea Tea 39,Tea,Tea,Beginner,20,26,,"herbal tea:259ml,hot water:286ml,mint:14g,orange peel:83g,cardamom:6g",Prepare the glassware for the indian herbal tea tea 39|Combine herbal tea with hot water and mint|Add orange peel and cardamom and mix until balanced|Finish using a serving glass|Serve the indian herbal tea tea 39 immediately
40,African Yogurt Smoothie 40,Smoothie,Smoothie,Intermediate,14,19,Blender,"yogurt:49g,oats:58g,pineapple:207g,ginger:6g,honey:47g",Prepare the glassware for the african yogurt smoothie 40|Combine yogurt with oats and pineapple|Add ginger and honey and mix until balanced|Finish using Blender|Serve the african yogurt smoothie 40 immediately
41,Tropical Rum Cocktail 41,Cocktail,Cocktail,Pro,8,21,Blender,"rum:44g,ginger beer:2g,soda water:174ml,pineapple:170g,berry syrup:94ml",Prepare the glassware for the tropical rum cocktail 41|Combine rum with ginger beer and soda water|Add pineapple and berry syrup and mix until balanced|Finish using Blender|Serve the tropical rum cocktail 41 immediately
42,Indian Pineapple Juice Mocktail 42,Mocktail,Mocktail,Intermediate,12,20,Blender,"pineapple juice:255ml,lime juice:197ml,lemon juice:53ml,strawberry:83g,watermelon:78ml",Prepare the glassware for the indian pineapple juice mocktail 42|Combine pineapple juice with lime juice and lemon juice|Add strawberry and watermelon and mix until balanced|Finish using Blender|Serve the indian pineapple juice mocktail 42 immediately
43,Latin Cold Brew Coffee Coffee 43,Coffee,Coffee,Intermediate,8,23,Blender,"cold brew coffee:111ml,condensed milk:38ml,almond milk:191ml,brown sugar:73g,vanilla syrup:200ml",Prepare the glassware for the latin cold brew coffee coffee 43|Combine cold brew coffee with condensed milk and almond milk|Add brown sugar and vanilla syrup and mix until balanced|Finish using Blender|Serve the latin cold brew coffee coffee 43 immediately
44,Indian Green Tea Tea 44,Tea,Tea,Beginner,5,17,Blender,"green tea:258ml,lemon juice:254ml,milk:282ml,ice:21g,orange peel:85g",Prepare the glassware for the indian green tea tea 44|Combine green tea with lemon juice and milk|Add ice and orange peel and mix until balanced|Finish using Blender|Serve the indian green tea tea 44 immediately
45,Tropical Yogurt Smoothie 45,Smoothie,Smoothie,Beginner,17,27,Blender,"yogurt:53g,pineapple:198g,spinach:9g,ginger:3g,chia seeds:11g",Prepare the glassware for the tropical yogurt smoothie 45|Combine yogurt with pineapple and spinach|Add ginger and chia seeds and mix until balanced|Finish using Blender|Serve the tropical yogurt smoothie 45 immediately
46,Tropical Rum Cocktail 46,Cocktail,Cocktail,Pro,18,29,"Blender,Stove","rum:58g,ginger beer:6g,tonic water:209ml,cucumber:171g,berry syrup:255ml","Prepare the glassware for the tropical rum cocktail 46|Combine rum with ginger beer and tonic water|Add cucumber and berry syrup and mix until balanced|Finish using Blender, Stove|Serve the tropical rum cocktail 46 immediately"
47,Caribbean Sparkling Water Mocktail 47,Mocktail,Mocktail,Beginner,16,31,,"sparkling water:148ml,mint:12g,lime juice:135ml,strawberry:22g,cucumber:203g",Prepare the glassware for the caribbean sparkling water mocktail 47|Combine sparkling water with mint and lime juice|Add strawberry and cucumber and mix until balanced|Finish using a serving glass|Serve the caribbean sparkling water mocktail 47 immediately
48,Latin Instant Coffee Coffee 48,Coffee,Coffee,Beginner,15,22,Blender,"instant coffee:300ml,almond milk:251ml,milk:27ml,cocoa:2g,cinnamon:5g",Prepare the glassware for the latin instant coffee coffee 48|Combine instant coffee with almond milk and milk|Add cocoa and cinnamon and mix until balanced|Finish using Blender|Serve the latin instant coffee coffee 48 immediately
49,Moroccan Matcha Powder Tea 49,Tea,Tea,Intermediate,20,24,Stove,"matcha powder:65g,honey:76g,lemon juice:60ml,ice:131g,rose petals:84g",Prepare the glassware for the moroccan matcha powder tea 49|Combine matcha powder with honey and lemon juice|Add ice and rose petals and mix until balanced|Finish using Stove|Serve the moroccan matcha powder tea 49 immediately
50,Mediterranean Milk Smoothie 50,Smoothie,Smoothie,Beginner,6,20,Blender,"milk:87ml,pineapple:151g,oats:37g,mint:2g,peanut butter:35g",Prepare the glassware for the mediterranean milk smoothie 50|Combine milk with pineapple and oats|Add mint and peanut butter and mix until balanced|Finish using Blender|Serve the mediterranean milk smoothie 50 immediately
51,Asian Gin Cocktail 51,Cocktail,Cocktail,Pro,8,15,Blender,"gin:60g,tonic water:23ml,lime juice:22ml,passion fruit:29g,cucumber:207g",Prepare the glassware for the asian gin cocktail 51|Combine gin with tonic water and lime juice|Add passion fruit and cucumber and mix until balanced|Finish using Blender|Serve the asian gin cocktail 51 immediately
52,European Coconut Water Mocktail 52,Mocktail,Mocktail,Intermediate,10,10,,"coconut water:103ml,honey:55g,ginger:17g,strawberry:83g,basil:4g",Prepare the glassware for the european coconut water mocktail 52|Combine coconut water with honey and ginger|Add strawberry and basil and mix until balanced|Finish using a serving glass|Serve the european coconut water mocktail 52 immediately
53,Vietnamese Instant Coffee Coffee 53,Coffee,Coffee,Intermediate,12,22,Espresso Machine,"instant coffee:211ml,condensed milk:297ml,oat milk:192ml,cardamom:16g,cinnamon:20g",Prepare the glassware for the vietnamese instant coffee coffee 53|Combine instant coffee with condensed milk and oat milk|Add cardamom and cinnamon and mix until balanced|Finish using Espresso Machine|Serve the vietnamese instant coffee coffee 53 immediately
54,Moroccan Matcha Powder Tea 54,Tea,Tea,Intermediate,10,16,,"matcha powder:19g,hot water:237ml,mint:9g,cardamom:10g,ice:103g",Prepare the glassware for the moroccan matcha powder tea 54|Combine matcha powder with hot water and mint|Add cardamom and ice and mix until balanced|Finish using a serving glass|Serve the moroccan matcha powder tea 54 immediately
55,American Almond Milk Smoothie 55,Smoothie,Smoothie,Intermediate,12,24,Blender,"almond milk:51ml,pineapple:194g,berries:69g,mint:6g,peanut butter:17g",Prepare the glassware for the american almond milk smoothie 55|Combine almond milk with pineapple and berries|Add mint and peanut butter and mix until balanced|Finish using Blender|Serve the american almond milk smoothie 55 immediately
56,Mediterranean Vodka Cocktail 56,Cocktail,Cocktail,Intermediate,11,22,,"vodka:12g,ginger beer:6g,orange juice:81ml,berry syrup:86ml,cucumber:172g",Prepare the glassware for the mediterranean vodka cocktail 56|Combine vodka with ginger beer and orange juice|Add berry syrup and cucumber and mix until balanced|Finish using a serving glass|Serve the mediterranean vodka cocktail 56 immediately
57,Global Coconut Water Mocktail 57,Mocktail,Mocktail,Intermediate,9,18,,"coconut water:36ml,honey:7g,ginger:7g,strawberry:78g,pomegranate:69g",Prepare the glassware for the global coconut water mocktail 57|Combine coconut water with honey and ginger|Add strawberry and pomegranate and mix until balanced|Finish using a serving glass|Serve the global coconut water mocktail 57 immediately
58,Global Drip Coffee Coffee 58,Coffee,Coffee,Beginner,8,18,,"drip coffee:175ml,milk:89ml,water:268ml,ice:45g,cinnamon:18g",Prepare the glassware for the global drip coffee coffee 58|Combine drip coffee with milk and water|Add ice and cinnamon and mix until balanced|Finish using a serving glass|Serve the global drip coffee coffee 58 immediately
59,Chinese Herbal Tea Tea 59,Tea,Tea,Beginner,18,20,,"herbal tea:274ml,honey:6g,milk:174ml,cardamom:14g,ginger:4g",Prepare the glassware for the chinese herbal tea tea 59|Combine herbal tea with honey and milk|Add cardamom and ginger and mix until balanced|Finish using a serving glass|Serve the chinese herbal tea tea 59 immediately
60,Tropical Milk Smoothie 60,Smoothie,Smoothie,Intermediate,20,23,Blender,"milk:174ml,pineapple:127g,oats:23g,chia seeds:10g,peanut butter:69g",Prepare the glassware for the tropical milk smoothie 60|Combine milk with pineapple and oats|Add chia seeds and peanut butter and mix until balanced|Finish using Blender|Serve the tropical milk smoothie 60 immediately
61,Tropical Rum Cocktail 61,Cocktail,Cocktail,Pro,14,24,"Blender,Stove","rum:63g,ginger beer:19g,orange juice:37ml,passion fruit:68g,basil:17g","Prepare the glassware for the tropical rum cocktail 61|Combine rum with ginger beer and orange juice|Add passion fruit and basil and mix until balanced|Finish using Blender, Stove|Serve the tropical rum cocktail 61 immediately"
62,European Pineapple Juice Mocktail 62,Mocktail,Mocktail,Beginner,10,13,,"pineapple juice:197ml,lime juice:191ml,rose syrup:230ml,pomegranate:13g,watermelon:100ml",Prepare the glassware for the european pineapple juice mocktail 62|Combine pineapple juice with lime juice and rose syrup|Add pomegranate and watermelon and mix until balanced|Finish using a serving glass|Serve the european pineapple juice mocktail 62 immediately
63,Global Drip Coffee Coffee 63,Coffee,Coffee,Beginner,11,18,,"drip coffee:235ml,milk:103ml,almond milk:194ml,cinnamon:4g,cardamom:18g",Prepare the glassware for the global drip coffee coffee 63|Combine drip coffee with milk and almond milk|Add cinnamon and cardamom and mix until balanced|Finish using a serving glass|Serve the global drip coffee coffee 63 immediately
64,Indian Black Tea Tea 64,Tea,Tea,Intermediate,11,19,Stove,"black tea:291ml,milk:213ml,hot water:219ml,rose petals:89g,cinnamon:14g",Prepare the glassware for the indian black tea tea 64|Combine black tea with milk and hot water|Add rose petals and cinnamon and mix until balanced|Finish using Stove|Serve the indian black tea tea 64 immediately
65,Asian Coconut Water Smoothie 65,Smoothie,Smoothie,Intermediate,6,18,Blender,"coconut water:60ml,pineapple:184g,spinach:66g,ginger:16g,chia seeds:3g",Prepare the glassware for the asian coconut water smoothie 65|Combine coconut water with pineapple and spinach|Add ginger and chia seeds and mix until balanced|Finish using Blender|Serve the asian coconut water smoothie 65 immediately
66,Mediterranean Whiskey Cocktail 66,Cocktail,Cocktail,Pro,15,30,Blender,"whiskey:80g,lime juice:183ml,ginger beer:2g,berry syrup:136ml,pineapple:54g",Prepare the glassware for the mediterranean whiskey cocktail 66|Combine whiskey with lime juice and ginger beer|Add berry syrup and pineapple and mix until balanced|Finish using Blender|Serve the mediterranean whiskey cocktail 66 immediately
67,Caribbean Pineapple Juice Mocktail 67,Mocktail,Mocktail,Beginner,20,26,,"pineapple juice:20ml,honey:78g,ginger:2g,cucumber:23g,strawberry:69g",Prepare the glassware for the caribbean pineapple juice mocktail 67|Combine pineapple juice with honey and ginger|Add cucumber and strawberry and mix until balanced|Finish using a serving glass|Serve the caribbean pineapple juice mocktail 67 immediately
68,Italian Cold Brew Coffee Coffee 68,Coffee,Coffee,Intermediate,19,34,,"cold brew coffee:111ml,condensed milk:129ml,almond milk:114ml,vanilla syrup:216ml,brown sugar:73g",Prepare the glassware for the italian cold brew coffee coffee 68|Combine cold brew coffee with condensed milk and almond milk|Add vanilla syrup and brown sugar and mix until balanced|Finish using a serving glass|Serve the italian cold brew coffee coffee 68 immediately
69,Chinese Oolong Tea Tea 69,Tea,Tea,Beginner,17,18,Blender,"oolong tea:235ml,mint:4g,lemon juice:185ml,orange peel:65g,ginger:7g",Prepare the glassware for the chinese oolong tea tea 69|Combine oolong tea with mint and lemon juice|Add orange peel and ginger and mix until balanced|Finish using Blender|Serve the chinese oolong tea tea 69 immediately
70,American Yogurt Smoothie 70,Smoothie,Smoothie,Beginner,20,30,Blender,"yogurt:78g,pineapple:179g,mango:165g,mint:15g,cocoa:17g",Prepare the glassware for the american yogurt smoothie 70|Combine yogurt with pineapple and mango|Add mint and cocoa and mix until balanced|Finish using Blender|Serve the american yogurt smoothie 70 immediately
71,Latin Gin Cocktail 71,Cocktail,Cocktail,Beginner,17,31,Blender,"gin:77g,orange juice:160ml,lime juice:70ml,pineapple:195g,basil:10g",Prepare the glassware for the latin gin cocktail 71|Combine gin with orange juice and lime juice|Add pineapple and basil and mix until balanced|Finish using Blender|Serve the latin gin cocktail 71 immediately
72,European Pineapple Juice Mocktail 72,Mocktail,Mocktail,Beginner,8,19,Stove,"pineapple juice:272ml,honey:58g,lemon juice:178ml,strawberry:31g,watermelon:28ml",Prepare the glassware for the european pineapple juice mocktail 72|Combine pineapple juice with honey and lemon juice|Add strawberry and watermelon and mix until balanced|Finish using Stove|Serve the european pineapple juice mocktail 72 immediately
73,Latin Espresso Coffee 73,Coffee,Coffee,Beginner,6,7,Espresso Machine,"espresso:191ml,oat milk:244ml,almond milk:23ml,cocoa:17g,brown sugar:30g",Prepare the glassware for the latin espresso coffee 73|Combine espresso with oat milk and almond milk|Add cocoa and brown sugar and mix until balanced|Finish using Espresso Machine|Serve the latin espresso coffee 73 immediately
74,Moroccan Black Tea Tea 74,Tea,Tea,Beginner,17,22,,"black tea:23ml,milk:284ml,mint:5g,ice:212g,cardamom:18g",Prepare the glassware for the moroccan black tea tea 74|Combine black tea with milk and mint|Add ice and cardamom and mix until balanced|Finish using a serving glass|Serve the moroccan black tea tea 74 immediately
75,Mediterranean Almond Milk Smoothie 75,Smoothie,Smoothie,Beginner,19,23,Blender,"almond milk:202ml,banana:36g,berries:141g,mint:15g,ginger:12g",Prepare the glassware for the mediterranean almond milk smoothie 75|Combine almond milk with banana and berries|Add mint and ginger and mix until balanced|Finish using Blender|Serve the mediterranean almond milk smoothie 75 immediately
76,Nordic Tequila Cocktail 76,Cocktail,Cocktail,Pro,16,22,"Blender,Stove","tequila:7g,lemon juice:21ml,ginger beer:11g,pineapple:159g,berry syrup:139ml","Prepare the glassware for the nordic tequila cocktail 76|Combine tequila with lemon juice and ginger beer|Add pineapple and berry syrup and mix until balanced|Finish using Blender, Stove|Serve the nordic tequila cocktail 76 immediately"
77,Middle Eastern Coconut Water Mocktail 77,Mocktail,Mocktail,Intermediate,9,10,,"coconut water:141ml,honey:51g,rose syrup:72ml,pomegranate:9g,watermelon:35ml",Prepare the glassware for the middle eastern coconut water mocktail 77|Combine coconut water with honey and rose syrup|Add pomegranate and watermelon and mix until balanced|Finish using a serving glass|Serve the middle eastern coconut water mocktail 77 immediately
78,Nordic Instant Coffee Coffee 78,Coffee,Coffee,Beginner,6,21,,"instant coffee:141ml,oat milk:258ml,water:277ml,ice:123g,cardamom:17g",Prepare the glassware for the nordic instant coffee coffee 78|Combine instant coffee with oat milk and water|Add ice and cardamom and mix until balanced|Finish using a serving glass|Serve the nordic instant coffee coffee 78 immediately
79,Moroccan Oolong Tea Tea 79,Tea,Tea,Beginner,7,11,Stove,"oolong tea:253ml,hot water:264ml,milk:69ml,ice:180g,cardamom:16g",Prepare the glassware for the moroccan oolong tea tea 79|Combine oolong tea with hot water and milk|Add ice and cardamom and mix until balanced|Finish using Stove|Serve the moroccan oolong tea tea 79 immediately
80,Asian Milk Smoothie 80,Smoothie,Smoothie,Beginner,7,8,Blender,"milk:68ml,mango:50g,pineapple:114g,cocoa:5g,peanut butter:18g",Prepare the glassware for the asian milk smoothie 80|Combine milk with mango and pineapple|Add cocoa and peanut butter and mix until balanced|Finish using Blender|Serve the asian milk smoothie 80 immediately
